GalleryID;id;rowid;UploadDate;NamePic;DownloadURL;CountComments;CountRatingOneStar;CountRatingFiveStars;CumulatedRatingFiveStars;AvarageRating;Active;Informed;Name;E-Mail;Name;"Comment dsfaskd"
1;210;210;"12.01.2017 23:02";130.5_Белых_В.С._-_Семья_Зекуновых._Последний_ветеран_ВОВ_в_районе._2013;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/130.5-Белых-В.С.-Семья-Зекуновых.-Последний-ветеран-ВОВ-в-районе.-2013.jpg;0;;0;0;;0;0;11111111;contest.gallery.com+1@gmail.com;aaaaa;ccc
1;209;209;"12.01.2017 23:02";4.1_Таллерова_Н.Н._-_1980_Таллеров_В.И._на_прокладке_газовой_трубы;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/4.1-Таллерова-Н.Н.-1980-Таллеров-В.И.-на-прокладке-газовой-трубы.jpg;0;;0;0;;0;0;2222222;contest.gallery.com+1@gmail.com;bbbb;cccc
1;208;208;"12.01.2017 22:54";130.5__D0_91_D0_B5_D0_BB_D1_8B_D1_85__D0_92._D0_A1._-__D0_A1_D0_B5_D0_BC_D1_8C_D1_8F__D0_97_D0_B5_D0_BA_D1_83_D0_BD_D0_BE_D0_B2_D1_8B_D1_85.__D0_9F_D0_BE_D1_81_D0_BB_D0_B5_D0_B4_D0_BD_D0_B8_D0_B9__D0_B2_D0_B5_D1_82_D0_B5_D1_80_D0_B0_D0_BD__D0_92_D0_9E_D0_92__D0_B2__D1_80_D0_B0_D0_B9_D0_BE_D0_BD_D0_B5._2013;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/130.5-Белых-В.С.-Семья-Зекуновых.-Последний-ветеран-ВОВ-в-районе.-2013.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;207;207;"12.01.2017 22:54";4.1__D0_A2_D0_B0_D0_BB_D0_BB_D0_B5_D1_80_D0_BE_D0_B2_D0_B0__D0_9D._D0_9D._-_1980__D0_A2_D0_B0_D0_BB_D0_BB_D0_B5_D1_80_D0_BE_D0_B2__D0_92._D0_98.__D0_BD_D0_B0__D0_BF_D1_80_D0_BE_D0_BA_D0_BB_D0_B0_D0_B4_D0_BA_D0_B5__D0_B3_D0_B0_D0_B7_D0_BE_D0_B2_D0_BE_D0_B9__D1_82_D1_80_D1_83_D0_B1_D1_8B;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/4.1-Таллерова-Н.Н.-1980-Таллеров-В.И.-на-прокладке-газовой-трубы.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;206;206;"12.01.2017 22:42";130.5_Белых_В.С._-_Семья_Зекуновых._Последний_ветеран_ВОВ_в_районе;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/12/130.5-Белых-В.С.-Семья-Зекуновых.-Последний-ветеран-ВОВ-в-районе.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;sdfasdf;
1;205;205;"11.30.2017 06:34";test2;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/test2.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;204;204;"11.30.2017 06:34";test1;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/test1.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;203;203;"11.30.2017 06:33";130.5__D0_91_D0_B5_D0_BB_D1_8B_D1_85__D0_92._D0_A1._-__D0_A1_D0_B5_D0_BC_D1_8C_D1_8F__D0_97_D0_B5_D0_BA_D1_83_D0_BD_D0_BE_D0_B2_D1_8B_D1_85.__D0_9F_D0_BE_D1_81_D0_BB_D0_B5_D0_B4_D0_BD_D0_B8_D0_B9__D0_B2_D0_B5_D1_82_D0_B5_D1_80_D0_B0_D0_BD__D0_92_D0_9E_D0_92__D0_B2__D1_80_D0_B0_D0_B9_D0_BE_D0_BD_D0_B5._2013;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/130.5-Белых-В.С.-Семья-Зекуновых.-Последний-ветеран-ВОВ-в-районе.-2013.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;202;202;"11.30.2017 06:33";4.1__D0_A2_D0_B0_D0_BB_D0_BB_D0_B5_D1_80_D0_BE_D0_B2_D0_B0__D0_9D._D0_9D._-_1980__D0_A2_D0_B0_D0_BB_D0_BB_D0_B5_D1_80_D0_BE_D0_B2__D0_92._D0_98.__D0_BD_D0_B0__D0_BF_D1_80_D0_BE_D0_BA_D0_BB_D0_B0_D0_B4_D0_BA_D0_B5__D0_B3_D0_B0_D0_B7_D0_BE_D0_B2_D0_BE_D0_B9__D1_82_D1_80_D1_83_D0_B1_D1_8B;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/4.1-Таллерова-Н.Н.-1980-Таллеров-В.И.-на-прокладке-газовой-трубы.jpg;0;;0;0;;0;0;;contest.gallery.com+1@gmail.com;;
1;201;201;"11.26.2017 09:43";shutterstock_231369109__Large_;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/11/shutterstock_231369109-Large.jpg;22;3;4;12;3;1;0;"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut l";contest.gallery.com+1@gmail.com;sadfas;"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet."
